,title,year,length,director
167,3 Idiots,2009,2h 50m,Rajkumar Hirani
168,Requiem for a Dream,2000,1h 42m,Darren Aronofsky
169,Requiem for a Dream,2000,1h 42m,Darren Aronofsky
170,High and Low,1963,2h 23m,Akira Kurosawa
171,High and Low,1963,2h 23m,Akira Kurosawa
172,Toy Story 3,2010,1h 43m,Lee Unkrich
173,Toy Story 3,2010,1h 43m,Lee Unkrich
174,Capernaum,2018,2h 6m,Nadine Labaki
175,Capernaum,2018,2h 6m,Nadine Labaki
176,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,Richard Marquand
177,Star Wars: Episode VI - Return of the Jedi,1983,2h 11m,Richard Marquand
178,2001: A Space Odyssey,1968,2h 29m,Stanley Kubrick
179,2001: A Space Odyssey,1968,2h 29m,Stanley Kubrick
180,Eternal Sunshine of the Spotless Mind,2004,1h 48m,Michel Gondry
181,Eternal Sunshine of the Spotless Mind,2004,1h 48m,Michel Gondry
182,Come and See,1985,2h 22m,Elem Klimov
183,Come and See,1985,2h 22m,Elem Klimov
184,Reservoir Dogs,1992,1h 39m,Quentin Tarantino
185,Reservoir Dogs,1992,1h 39m,Quentin Tarantino
186,The Hunt,2012,1h 55m,Thomas Vinterberg
187,The Hunt,2012,1h 55m,Thomas Vinterberg
188,Citizen Kane,1941,1h 59m,Orson Welles
189,Citizen Kane,1941,1h 59m,Orson Welles
190,M,1931,1h 39m,Fritz Lang
191,M,1931,1h 39m,Fritz Lang
192,Lawrence of Arabia,1962,3h 38m,David Lean
193,Lawrence of Arabia,1962,3h 38m,David Lean
194,North by Northwest,1959,2h 16m,Alfred Hitchcock
195,North by Northwest,1959,2h 16m,Alfred Hitchcock
196,Ikiru,1952,2h 23m,Akira Kurosawa
197,Ikiru,1952,2h 23m,Akira Kurosawa
198,Vertigo,1958,2h 8m,Alfred Hitchcock
199,Vertigo,1958,2h 8m,Alfred Hitchcock
200,The Apartment,1960,2h 5m,Billy Wilder
201,The Apartment,1960,2h 5m,Billy Wilder
202,Amélie,2001,2h 2m,Jean-Pierre Jeunet
203,Amélie,2001,2h 2m,Jean-Pierre Jeunet
204,A Clockwork Orange,1971,2h 16m,Stanley Kubrick
205,A Clockwork Orange,1971,2h 16m,Stanley Kubrick
206,Double Indemnity,1944,1h 47m,Billy Wilder
207,Double Indemnity,1944,1h 47m,Billy Wilder
208,Full Metal Jacket,1987,1h 56m,Stanley Kubrick
209,Full Metal Jacket,1987,1h 56m,Stanley Kubrick
210,Scarface,1983,2h 50m,Brian De Palma
211,Scarface,1983,2h 50m,Brian De Palma
212,Hamilton,2020,2h 40m,Thomas Kail
213,Hamilton,2020,2h 40m,Thomas Kail
214,Incendies,2010,2h 11m,Denis Villeneuve
215,Incendies,2010,2h 11m,Denis Villeneuve
216,Heat,1995,2h 50m,Michael Mann
217,Heat,1995,2h 50m,Michael Mann
218,To Kill a Mockingbird,1962,2h 9m,Robert Mulligan
219,To Kill a Mockingbird,1962,2h 9m,Robert Mulligan
220,Up,2009,1h 36m,Pete Docter
221,Up,2009,1h 36m,Pete Docter
222,The Sting,1973,2h 9m,George Roy Hill
223,The Sting,1973,2h 9m,George Roy Hill
224,A Separation,2011,2h 3m,Asghar Farhadi
225,A Separation,2011,2h 3m,Asghar Farhadi
226,Metropolis,1927,2h 33m,Fritz Lang
227,Metropolis,1927,2h 33m,Fritz Lang
228,Taxi Driver,1976,1h 54m,Martin Scorsese
229,Taxi Driver,1976,1h 54m,Martin Scorsese
230,L.A. Confidential,1997,2h 18m,Curtis Hanson
231,L.A. Confidential,1997,2h 18m,Curtis Hanson
232,Top Gun: Maverick,2022,2h 10m,Joseph Kosinski
233,Top Gun: Maverick,2022,2h 10m,Joseph Kosinski
234,Die Hard,1988,2h 12m,John McTiernan
235,Die Hard,1988,2h 12m,John McTiernan
236,Snatch,2000,1h 42m,Guy Ritchie
237,Snatch,2000,1h 42m,Guy Ritchie
238,Indiana Jones and the Last Crusade,1989,2h 7m,Steven Spielberg
239,Indiana Jones and the Last Crusade,1989,2h 7m,Steven Spielberg
240,Bicycle Thieves,1948,1h 29m,Vittorio De Sica
241,Bicycle Thieves,1948,1h 29m,Vittorio De Sica
242,Like Stars on Earth,2007,2h 45m,Aamir Khan
243,Like Stars on Earth,2007,2h 45m,Aamir Khan
244,1917,2019,1h 59m,Sam Mendes
245,1917,2019,1h 59m,Sam Mendes
246,Downfall,2004,2h 36m,Oliver Hirschbiegel
247,Downfall,2004,2h 36m,Oliver Hirschbiegel
248,Dangal,2016,2h 41m,Nitesh Tiwari
249,Dangal,2016,2h 41m,Nitesh Tiwari
250,For a Few Dollars More,1965,2h 12m,Sergio Leone
251,For a Few Dollars More,1965,2h 12m,Sergio Leone
252,Batman Begins,2005,2h 20m,Christopher Nolan
253,Batman Begins,2005,2h 20m,Christopher Nolan
254,The Kid,1921,1h 8m,Charles Chaplin
255,The Kid,1921,1h 8m,Charles Chaplin
256,Some Like It Hot,1959,2h 1m,Billy Wilder
257,Some Like It Hot,1959,2h 1m,Billy Wilder
258,The Father,2020,1h 37m,Florian Zeller
259,The Father,2020,1h 37m,Florian Zeller
260,All About Eve,1950,2h 18m,Joseph L. Mankiewicz
261,All About Eve,1950,2h 18m,Joseph L. Mankiewicz
262,The Wolf of Wall Street,2013,3h,Martin Scorsese
263,The Wolf of Wall Street,2013,3h,Martin Scorsese
264,Green Book,2018,2h 10m,Peter Farrelly
265,Green Book,2018,2h 10m,Peter Farrelly
266,Judgment at Nuremberg,1961,2h 59m,Stanley Kramer
267,Judgment at Nuremberg,1961,2h 59m,Stanley Kramer
268,Ran,1985,2h 42m,Akira Kurosawa
